id1,id2,SigValue
P13,P12,0.5
P13,P11,0.5
P13,P09,0.5
P13,P10,0.5
P13,P08,0.5
P13,P07,0.5
P13,P06,0.5
P13,P05,0.5
P13,P03,0.5
P13,P02,0.5
P13,P01,0.5
P12,P11,0.5
P12,P09,0.5
P12,P10,0.5
P12,P08,0.5
P12,P07,0.5
P12,P06,0.5
P12,P05,0.5
P12,P03,0.5
P12,P02,0.5
P12,P01,0.5
P11,P09,0.5
P11,P10,0.5
P11,P08,0.5
P11,P07,0.5
P11,P06,0.5
P11,P05,0.5
P11,P03,0.5
P11,P02,0.5
P11,P01,0.5
P09,P10,0.5
P09,P08,0.5
P09,P07,0.5
P09,P06,0.5
P09,P05,0.5
P09,P03,0.5
P09,P02,0.5
P09,P01,0.5
P10,P08,0.5
P10,P07,0.5
P10,P06,0.5
P10,P05,0.5
P10,P03,0.5
P10,P02,0.5
P10,P01,0.5
P08,P07,0.49
P08,P06,0.5
P08,P05,0.5
P08,P03,0.5
P08,P02,0.5
P08,P01,0.5
P07,P06,0.5
P07,P05,0.5
P07,P03,0.5
P07,P02,0.5
P07,P01,0.5
P06,P05,0.5
P06,P03,0.5
P06,P02,0.5
P06,P01,0.5
P05,P03,0.5
P05,P02,0.5
P05,P01,0.5
P03,P02,0.5
P03,P01,0.5
P02,P01,0.5
